PROJECT,SURFACE_PAD,PATTERN,WELL_PAIR,MAPPED_COMMON_WELLNAME,OBS_IHS_WELLNAME,OBS_BOT_TVDSS,OBS_SURFACE_X,OBS_SURFACE_Y,OBS_SUNCOR_WELLBORE_ID,OBS_TOP_DIST,OBS_BOT_DIST,OBS_TOP_MD,OBS_BOT_MD,OBS_TOP_TVDSS
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-02,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-04,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,SUNCOR 16-6SL WBC55 DOVER 12-5-93-12,303.3632507,444726.9063,6322508,SUN-AB0472613-093-12-W4-00,62.63797271,177.1626002,443,493.5400085,432.6000061
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-00,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-03,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-05,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 751,Pad 751 North,751-WP01,751-P01,SUNCOR OB17 DOVER 11-7-93-12,254.1999969,443702.125,6323976,SUN-AB0471691-093-12-W4-00,59.3339414,59.3339414,1194.109985,1194.109985,437.2000122
MacKay River,Pad 751,Pad 751 North,751-WP01,751-P01,SUNCOR DA12-1 DOVER 6-7-93-12,256.3999939,443698.0313,6323436,SUN-AB0426855-093-12-W4-00,54.70806756,54.70806756,654.8599854,654.8599854,436.8999939
MacKay River,Pad 751,Pad 751 South,751-WP09,751-P09,SUNCOR SD11 DOVER 3-6-93-12,256,443833,6321694,SUN-AB0427840-093-12-W4-00,68.63929297,68.63929297,1267.949951,1267.949951,435
MacKay River,Pad 751,Pad 751 East,751-WP14,751-P14,SUNCOR SD5 DOVER 14-6-93-12,255.6999969,443616.25,6322576,SUN-AB0430458-093-12-W4-00,78.50050383,78.50050383,419.8599854,419.8599854,438.7000122
